region,category,priority,yaw_deg,pitch_deg,roll,grid_type,source,ocs_total,brightness_rank,rank_shift_vs_roll0,pixel_local_contrast,neighbor_contrast_ypr,roll_sensitivity_score,n_pixels_camera_visible,n_pixels_contributing,mean_lit,image_usable,glint_flag,saturation_flag
R1_high_info,high-info,primary,245.0,30.0,15,integer5,21_pack,0.208377,1,-80,0.828622,1.834296,3.83843,6179,4165,0.3123897,1,0,1
R1_high_info,high-info,primary,245.0,32.5,15,half2p5,21_pack,0.2079097,2,-78,0.826617,1.847867,3.854539,6204,4196,0.3093864,1,0,1
R1_high_info,high-info,primary,245.0,35.0,15,integer5,21_pack,0.2062671,3,-80,0.821263,1.86883,3.852806,6214,4230,0.304475,1,0,1
R1_high_info,high-info,primary,247.5,37.5,15,half2p5,21_pack,0.2056014,4,-87,0.831168,1.873252,3.803542,6282,4146,0.3096412,1,0,1
R1_high_info,high-info,primary,247.5,40.0,15,half2p5,21_pack,0.2035455,5,-85,0.830683,1.866978,3.8027,6299,4155,0.305881,1,0,1
R1_high_info,high-info,primary,247.5,32.5,15,half2p5,21_pack,0.2025427,6,-82,0.827497,1.914727,3.736347,6233,4094,0.308909,1,0,1
R1_high_info,high-info,primary,247.5,35.0,15,half2p5,21_pack,0.2023581,7,-80,0.841493,1.894059,3.725903,6233,4110,0.3074261,1,0,1
R1_high_info,high-info,primary,245.0,37.5,15,half2p5,21_pack,0.2006948,8,-74,0.824715,1.891382,3.787655,6231,4264,0.2938873,1,0,0
R1_high_info,high-info,primary,247.5,30.0,15,half2p5,21_pack,0.1982623,9,-80,0.820739,1.925908,3.692265,6192,4055,0.305289,1,0,1
R1_high_info,high-info,primary,242.5,30.0,15,half2p5,21_pack,0.1947152,11,-61,0.812515,1.967724,3.686845,6150,4255,0.2857343,1,0,0
R1_high_info,high-info,primary,245.0,40.0,15,integer5,21_pack,0.1932308,12,-67,0.823344,1.900051,3.736401,6252,4276,0.2821633,1,0,0
R1_high_info,high-info,primary,250.0,40.0,15,integer5,21_pack,0.1900773,13,-84,0.826315,1.857136,3.499372,6340,4070,0.291607,1,0,1
R1_high_info,high-info,primary,242.5,32.5,15,half2p5,21_pack,0.1885217,14,-59,0.809861,1.99816,3.630242,6169,4293,0.2741967,1,0,0
R1_high_info,high-info,primary,250.0,37.5,15,half2p5,21_pack,0.1859892,15,-83,0.825315,1.866997,3.462257,6322,4046,0.2870276,1,0,1
R1_high_info,high-info,primary,250.0,35.0,15,integer5,21_pack,0.1821338,20,-75,0.816276,1.890134,3.429275,6290,4028,0.2823339,1,0,0
R1_high_info,high-info,primary,242.5,35.0,15,half2p5,21_pack,0.1791348,21,-53,0.810231,2.054585,3.533268,6180,4306,0.2597574,1,0,0
R1_high_info,high-info,primary,242.5,37.5,15,half2p5,21_pack,0.1758585,22,-48,0.789651,2.111072,3.50316,6193,4381,0.250641,1,0,0
R1_high_info,high-info,primary,250.0,32.5,15,half2p5,21_pack,0.1745251,25,-69,0.808082,1.891819,3.345004,6250,3965,0.274838,1,0,0
R1_high_info,high-info,primary,250.0,30.0,15,integer5,21_pack,0.165415,28,-65,0.803654,1.912069,3.238659,6218,3940,0.2621445,1,0,0
R1_high_info,high-info,primary,242.5,40.0,15,half2p5,21_pack,0.1619483,29,-47,0.788366,2.079116,3.351376,6197,4329,0.2335881,1,0,0
R1_high_info,high-info,primary,240.0,30.0,15,integer5,21_pack,0.1596705,30,-33,0.788026,1.890763,3.237817,6111,4346,0.2294018,1,0,0
R1_high_info,high-info,primary,240.0,32.5,15,half2p5,21_pack,0.1511782,33,-27,0.778005,1.931459,3.118261,6122,4375,0.2157611,1,0,0
R1_high_info,high-info,primary,240.0,35.0,15,integer5,21_pack,0.1421673,38,-26,0.761209,1.934116,3.013301,6146,4379,0.2027154,1,0,0
R1_high_info,high-info,primary,240.0,37.5,15,half2p5,21_pack,0.1312232,39,-20,0.754856,1.903714,2.837527,6142,4379,0.1871103,1,0,0
R1_high_info,high-info,primary,240.0,40.0,15,integer5,21_pack,0.1219748,40,-22,0.739551,1.899216,2.70563,6133,4369,0.1743211,1,0,0
