rank,yaw_deg,pitch_deg,roll,label,cluster,ocs_total,source,origin_pkg
1,245.0,27.5,15.0,yaw2450_pitchp0275_roll+015,R1_top,0.20889048278331757,23A_new,23A
2,245.0,30.0,15.0,yaw2450_pitchp0300_roll+015,R1_top,0.208377,P3_reuse,23A
3,245.0,32.5,15.0,yaw2450_pitchp0325_roll+015,R1_top,0.2079097,P3_reuse,23A
4,245.0,35.0,15.0,yaw2450_pitchp0350_roll+015,R1_top,0.2062671,P3_reuse,23A
5,242.5,22.5,15.0,yaw2425_pitchp0225_roll+015,R1_pitch_boundary,0.20368336141109467,23B_new,23B
6,245.0,25.0,15.0,yaw2450_pitchp0250_roll+015,R1_pitch_boundary,0.20322741568088531,23B_new,23B
7,247.5,32.5,15.0,yaw2475_pitchp0325_roll+015,R1_top,0.2025427,P3_reuse,23A
8,247.5,35.0,15.0,yaw2475_pitchp0350_roll+015,R1_top,0.2023581,P3_reuse,23A
9,242.5,25.0,15.0,yaw2425_pitchp0250_roll+015,R1_pitch_boundary,0.20202982425689697,23B_new,23B
10,147.5,12.5,-15.0,yaw1475_pitchp0125_roll-015,R4_control,0.2018225,P3_reuse,23A
11,247.5,32.5,17.5,yaw2475_pitchp0325_roll+0175,R1_top,0.20157746970653534,23A_new,23A
12,147.5,12.5,0.0,yaw1475_pitchp0125_roll+000,R4_control,0.2011461,P3_reuse,23A
13,242.5,27.5,12.5,yaw2425_pitchp0275_roll+0125,R1_top,0.20112067461013794,23A_new,23A
14,147.5,12.5,-30.0,yaw1475_pitchp0125_roll-030,R4_control,0.2010284,P3_reuse,23A
15,245.0,22.5,15.0,yaw2450_pitchp0225_roll+015,R1_pitch_boundary,0.20067910850048065,23B_new,23B
16,247.5,35.0,17.5,yaw2475_pitchp0350_roll+0175,R1_top,0.20010019838809967,23A_new,23A
17,242.5,27.5,15.0,yaw2425_pitchp0275_roll+015,R1_top,0.19927522540092468,23A_new,23A
18,247.5,30.0,15.0,yaw2475_pitchp0300_roll+015,R1_top,0.1982623,P3_reuse,23A
19,245.0,27.5,12.5,yaw2450_pitchp0275_roll+0125,R1_top,0.19780397415161133,23A_new,23A
20,245.0,30.0,12.5,yaw2450_pitchp0300_roll+0125,R1_top,0.19776536524295807,23A_new,23A
21,147.5,12.5,15.0,yaw1475_pitchp0125_roll+015,R4_control,0.1974041,P3_reuse,23A
22,242.5,30.0,12.5,yaw2425_pitchp0300_roll+0125,R1_top,0.19711169600486755,23A_new,23A
23,245.0,32.5,12.5,yaw2450_pitchp0325_roll+0125,R1_top,0.19685949385166168,23A_new,23A
24,247.5,30.0,17.5,yaw2475_pitchp0300_roll+0175,R1_top,0.19526323676109314,23A_new,23A
25,247.5,25.0,15.0,yaw2475_pitchp0250_roll+015,R1_pitch_boundary,0.18273191154003143,23B_new,23B
26,247.5,22.5,15.0,yaw2475_pitchp0225_roll+015,R1_pitch_boundary,0.1742192804813385,23B_new,23B
