pose,channel,readable,shape,min,max_or_err
R1_top1,ViewLayer.IndexOB.X,YES,256x256,0,3
R1_top1,ViewLayer.Normal.X,YES,256x256,-0.7659,0.993
R1_top1,ViewLayer.Normal.Y,YES,256x256,-0.994,0.3325
R1_top1,ViewLayer.Normal.Z,YES,256x256,-0.9726,0.9982
R1_top1,ViewLayer.Position.X,YES,256x256,-0.2565,0.9213
R1_top1,ViewLayer.Position.Y,YES,256x256,-1.37,0.24
R1_top1,ViewLayer.Position.Z,YES,256x256,-0.5518,0.7171
R1_top1,ViewLayer.Depth.Z,YES,256x256,6.159,1e+10
R4_robust,ViewLayer.IndexOB.X,YES,256x256,0,3
R4_robust,ViewLayer.Normal.X,YES,256x256,-0.8608,0.9967
R4_robust,ViewLayer.Normal.Y,YES,256x256,-0.9998,0.3996
R4_robust,ViewLayer.Normal.Z,YES,256x256,-0.9763,0.9845
R4_robust,ViewLayer.Position.X,YES,256x256,-1.318,0.4102
R4_robust,ViewLayer.Position.Y,YES,256x256,-0.8459,0.08736
R4_robust,ViewLayer.Position.Z,YES,256x256,-0.5749,0.6809
R4_robust,ViewLayer.Depth.Z,YES,256x256,6.628,1e+10
R3_neg,ViewLayer.IndexOB.X,YES,256x256,0,2
R3_neg,ViewLayer.Normal.X,YES,256x256,-0.6129,0.9986
R3_neg,ViewLayer.Normal.Y,YES,256x256,-0.9986,0.2425
R3_neg,ViewLayer.Normal.Z,YES,256x256,-0.9695,0.9988
R3_neg,ViewLayer.Position.X,YES,256x256,-0.9203,0.2702
R3_neg,ViewLayer.Position.Y,YES,256x256,-0.4387,1.289
R3_neg,ViewLayer.Position.Z,YES,256x256,-0.6557,0.569
R3_neg,ViewLayer.Depth.Z,YES,256x256,7.15,1e+10
