label,yaw,pitch,roll,ocs_total,src_pkg,region,category,json_ok,exr_ok,vsun_ok,geometry_eligible
yaw2425_pitchp0275_roll+005,242.5,27.5,5.0,0.09919794,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0300_roll+005,242.5,30.0,5.0,0.09852290,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0325_roll+005,242.5,32.5,5.0,0.09813184,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+005,242.5,35.0,5.0,0.09751704,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+005,245.0,27.5,5.0,0.08476639,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0300_roll+005,245.0,30.0,5.0,0.08474088,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0325_roll+005,245.0,32.5,5.0,0.08502770,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0350_roll+005,245.0,35.0,5.0,0.08414076,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+005,247.5,27.5,5.0,0.06658433,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+005,247.5,30.0,5.0,0.06712445,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0325_roll+005,247.5,32.5,5.0,0.06748652,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0350_roll+005,247.5,35.0,5.0,0.06863774,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0275_roll+010,242.5,27.5,10.0,0.17843039,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0300_roll+010,242.5,30.0,10.0,0.17278779,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0325_roll+010,242.5,32.5,10.0,0.17107910,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+010,242.5,35.0,10.0,0.16668922,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+010,245.0,27.5,10.0,0.16521452,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0300_roll+010,245.0,30.0,10.0,0.16495305,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0325_roll+010,245.0,32.5,10.0,0.16449508,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0350_roll+010,245.0,35.0,10.0,0.16348208,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+010,247.5,27.5,10.0,0.13485992,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+010,247.5,30.0,10.0,0.13795422,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0325_roll+010,247.5,32.5,10.0,0.13982201,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0350_roll+010,247.5,35.0,10.0,0.14180736,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0275_roll+0125,242.5,27.5,12.5,0.20112067,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2425_pitchp0300_roll+0125,242.5,30.0,12.5,0.19711170,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2425_pitchp0325_roll+0125,242.5,32.5,12.5,0.19175607,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+0125,242.5,35.0,12.5,0.18324359,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.19780397,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2450_pitchp0300_roll+0125,245.0,30.0,12.5,0.19776537,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2450_pitchp0325_roll+0125,245.0,32.5,12.5,0.19685949,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2450_pitchp0350_roll+0125,245.0,35.0,12.5,0.19404736,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+0125,247.5,27.5,12.5,0.17190936,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+0125,247.5,30.0,12.5,0.17561425,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0325_roll+0125,247.5,32.5,12.5,0.18023776,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0350_roll+0125,247.5,35.0,12.5,0.18119216,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0275_roll+015,242.5,27.5,15.0,0.19927523,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889048,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2475_pitchp0275_roll+015,247.5,27.5,15.0,0.19189717,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0275_roll+0175,242.5,27.5,17.5,0.17356916,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0300_roll+0175,242.5,30.0,17.5,0.16856606,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0325_roll+0175,242.5,32.5,17.5,0.16220161,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+0175,242.5,35.0,17.5,0.15498830,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+0175,245.0,27.5,17.5,0.19307745,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0300_roll+0175,245.0,30.0,17.5,0.19156876,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0325_roll+0175,245.0,32.5,17.5,0.19171193,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849723,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898834,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.19526324,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2475_pitchp0325_roll+0175,247.5,32.5,17.5,0.20157747,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2475_pitchp0350_roll+0175,247.5,35.0,17.5,0.20010020,23A,R1_top,23A_refined_topN,1,1,1,YES
yaw2425_pitchp0275_roll+020,242.5,27.5,20.0,0.13325979,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0300_roll+020,242.5,30.0,20.0,0.12984973,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0325_roll+020,242.5,32.5,20.0,0.12559716,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+020,242.5,35.0,20.0,0.11986152,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+020,245.0,27.5,20.0,0.15657163,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0300_roll+020,245.0,30.0,20.0,0.15754502,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0325_roll+020,245.0,32.5,20.0,0.15656114,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0350_roll+020,245.0,35.0,20.0,0.15318641,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+020,247.5,27.5,20.0,0.16471002,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+020,247.5,30.0,20.0,0.16987556,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0325_roll+020,247.5,32.5,20.0,0.17508721,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0350_roll+020,247.5,35.0,20.0,0.17554238,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0275_roll+025,242.5,27.5,25.0,0.06527949,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0300_roll+025,242.5,30.0,25.0,0.06350259,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0325_roll+025,242.5,32.5,25.0,0.06104104,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0350_roll+025,242.5,35.0,25.0,0.05823726,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0275_roll+025,245.0,27.5,25.0,0.07965895,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0300_roll+025,245.0,30.0,25.0,0.07964949,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0325_roll+025,245.0,32.5,25.0,0.07856725,23A,unlabeled,unlabeled,1,1,1,YES
yaw2450_pitchp0350_roll+025,245.0,35.0,25.0,0.07754239,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0275_roll+025,247.5,27.5,25.0,0.08968112,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0300_roll+025,247.5,30.0,25.0,0.09306423,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0325_roll+025,247.5,32.5,25.0,0.09615351,23A,unlabeled,unlabeled,1,1,1,YES
yaw2475_pitchp0350_roll+025,247.5,35.0,25.0,0.09826139,23A,unlabeled,unlabeled,1,1,1,YES
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368336,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw2450_pitchp0225_roll+015,245.0,22.5,15.0,0.20067911,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322742,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273191,23B,R1_pitch_boundary,23B_combined_topN,1,1,1,YES
yaw0550_pitchp0625_roll+000,55.0,62.5,0.0,0.06647777,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0550_pitchp0675_roll+000,55.0,67.5,0.0,0.06684434,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942464,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947678,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997713,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0625_roll+000,60.0,62.5,0.0,0.06768928,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0600_pitchp0675_roll+000,60.0,67.5,0.0,0.06760830,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0600_roll+000,62.5,60.0,0.0,0.06036954,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0625_roll+000,62.5,62.5,0.0,0.06042397,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0650_roll+000,62.5,65.0,0.0,0.06108941,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0675_roll+000,62.5,67.5,0.0,0.06148202,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0625_pitchp0700_roll+000,62.5,70.0,0.0,0.06130155,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0625_roll+000,65.0,62.5,0.0,0.05227029,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw0650_pitchp0675_roll+000,65.0,67.5,0.0,0.05267475,P3,R3_low_info_connectivity,low-info/ocs-hard,1,1,1,YES
yaw1450_pitchp0125_roll+000,145.0,12.5,0.0,0.18642113,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0175_roll+000,145.0,17.5,0.0,0.14580116,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1450_pitchp0225_roll+000,145.0,22.5,0.0,0.07160790,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0100_roll+000,147.5,10.0,0.0,0.18551525,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114613,P3,R4_control,23A_refined_topN,1,1,1,YES
yaw1475_pitchp0150_roll+000,147.5,15.0,0.0,0.19024239,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0175_roll+000,147.5,17.5,0.0,0.15675013,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
yaw1475_pitchp0200_roll+000,147.5,20.0,0.0,0.11447003,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,1,1,1,YES
