pose_label,recomputed_ocs_total,json_ocs_total,rel_diff,verdict
yaw2450_pitchp0275_roll+015,0.2088904942,0.2088904828,5.488e-08,OK
yaw2450_pitchp0300_roll+015,0.2083770065,0.2083770037,1.381e-08,OK
yaw2450_pitchp0325_roll+015,0.2079097220,0.2079097033,9.020e-08,OK
yaw2450_pitchp0350_roll+015,0.2062671472,0.2062671483,5.233e-09,OK
yaw2475_pitchp0375_roll+015,0.2056014477,0.2056014389,4.285e-08,OK
yaw140_pitch+025_roll+045,0.0344247569,0.0344247557,3.427e-08,OK
yaw275_pitch-085_roll+060,0.0344161180,0.0344161168,3.626e-08,OK
yaw140_pitch+025_roll-060,0.0343742247,0.0343742222,7.290e-08,OK
yaw295_pitch-085_roll+030,0.0339299530,0.0339299515,4.350e-08,OK
yaw160_pitch+005_roll+045,0.0325093107,0.0325093120,4.210e-08,OK
yaw295_pitch-065_roll-015,0.0108686142,0.0108686145,2.669e-08,OK
yaw285_pitch-065_roll+000,0.0107301453,0.0107301442,1.092e-07,OK
yaw290_pitch-065_roll+000,0.0107187080,0.0107187074,6.237e-08,OK
yaw290_pitch-070_roll+000,0.0106832081,0.0106832081,1.479e-09,OK
yaw285_pitch-070_roll+000,0.0106283192,0.0106283189,3.262e-08,OK
