pose_label,yaw,pitch,roll,ocs_total,ocs_rank,role,region,near_specular_metal,strong_surface_highlight,dark_panel_increment
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889049,1,top1,,1,1,1
yaw2450_pitchp0300_roll+015,245.0,30.0,15.0,0.20837701,2,,,1,1,1
yaw2450_pitchp0325_roll+015,245.0,32.5,15.0,0.20790972,3,,,1,1,1
yaw2450_pitchp0350_roll+015,245.0,35.0,15.0,0.20626715,4,,,1,1,1
yaw2475_pitchp0375_roll+015,247.5,37.5,15.0,0.20560145,5,,,1,1,1
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368337,6,,,1,1,1
yaw2475_pitchp0400_roll+015,247.5,40.0,15.0,0.20354554,7,,,1,1,1
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322743,8,,,1,1,1
yaw2475_pitchp0325_roll+015,247.5,32.5,15.0,0.20254266,9,,,1,1,1
yaw2475_pitchp0350_roll+015,247.5,35.0,15.0,0.20235813,10,,,1,1,1
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982,11,,,1,1,1
yaw1475_pitchp0125_roll-015,147.5,12.5,-15.0,0.20182256,12,,,1,1,0
yaw1475_pitchp0125_roll-060,147.5,12.5,-60.0,0.20158178,13,,,1,1,0
yaw2475_pitchp0325_roll+0175,247.5,32.5,17.5,0.20157749,14,,,1,1,1
yaw1475_pitchp0125_roll-045,147.5,12.5,-45.0,0.20154071,15,,,1,1,0
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114612,16,R4_robust,,1,1,0
yaw2425_pitchp0275_roll+0125,242.5,27.5,12.5,0.20112068,17,,,1,1,1
yaw1475_pitchp0125_roll-030,147.5,12.5,-30.0,0.20102839,18,,,1,1,0
yaw2450_pitchp0375_roll+015,245.0,37.5,15.0,0.20069478,19,,,1,1,1
yaw2450_pitchp0225_roll+015,245.0,22.5,15.0,0.20067912,20,,,1,1,1
yaw2475_pitchp0350_roll+0175,247.5,35.0,17.5,0.20010021,21,,,1,1,1
yaw2425_pitchp0275_roll+015,242.5,27.5,15.0,0.19927523,22,,,0,1,1
yaw2475_pitchp0300_roll+015,247.5,30.0,15.0,0.19826230,23,,,0,1,1
yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.19780398,24,,,0,1,1
yaw2450_pitchp0300_roll+0125,245.0,30.0,12.5,0.19776537,25,,,0,1,1
yaw1475_pitchp0125_roll+015,147.5,12.5,15.0,0.19740410,26,,,1,1,0
yaw240_pitch+015_roll+015,240.0,15.0,15.0,0.19713082,27,,,0,1,1
yaw2425_pitchp0300_roll+0125,242.5,30.0,12.5,0.19711169,28,,,0,1,1
yaw2450_pitchp0325_roll+0125,245.0,32.5,12.5,0.19685951,29,,,0,1,1
yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.19526323,30,,,0,1,1
yaw245_pitch+020_roll+015,245.0,20.0,15.0,0.19484701,31,,,0,1,1
yaw2425_pitchp0300_roll+015,242.5,30.0,15.0,0.19471524,32,,,0,1,1
yaw1475_pitchp0125_roll+030,147.5,12.5,30.0,0.19414049,33,,,1,1,0
yaw2450_pitchp0350_roll+0125,245.0,35.0,12.5,0.19404736,34,,,0,1,1
yaw2450_pitchp0400_roll+015,245.0,40.0,15.0,0.19323077,35,,,0,1,1
yaw2450_pitchp0275_roll+0175,245.0,27.5,17.5,0.19307745,36,,,0,1,1
yaw1475_pitchp0125_roll+045,147.5,12.5,45.0,0.19273490,37,,,1,1,0
yaw1475_pitchp0150_roll-015,147.5,15.0,-15.0,0.19263733,38,,,0,1,0
yaw2475_pitchp0275_roll+015,247.5,27.5,15.0,0.19189716,39,,,0,1,1
yaw2425_pitchp0325_roll+0125,242.5,32.5,12.5,0.19175608,40,,,0,1,1
yaw2450_pitchp0325_roll+0175,245.0,32.5,17.5,0.19171192,41,,,0,1,1
yaw1475_pitchp0150_roll-045,147.5,15.0,-45.0,0.19165733,42,,,0,1,0
yaw2450_pitchp0300_roll+0175,245.0,30.0,17.5,0.19156877,43,,,0,1,1
yaw1475_pitchp0125_roll+060,147.5,12.5,60.0,0.19139913,44,,,1,1,0
yaw240_pitch+020_roll+015,240.0,20.0,15.0,0.19111824,45,,,0,1,1
yaw1475_pitchp0150_roll-030,147.5,15.0,-30.0,0.19036753,46,,,0,1,0
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898836,47,,,0,1,1
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849724,48,,,0,1,1
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273193,49,,,0,1,1
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,50,,,0,1,1
yaw140_pitch+015_roll-015,140.0,15.0,-15.0,0.10935810,51,,,0,1,0
yaw140_pitch+015_roll-030,140.0,15.0,-30.0,0.10932171,52,,,0,1,0
yaw140_pitch+015_roll-045,140.0,15.0,-45.0,0.10854892,53,,,0,1,0
yaw140_pitch+015_roll+015,140.0,15.0,15.0,0.10823276,54,,,0,1,0
yaw140_pitch+015_roll+000,140.0,15.0,0.0,0.10820001,55,,,0,1,0
yaw140_pitch+010_roll+000,140.0,10.0,0.0,0.10699173,56,,,0,1,0
yaw140_pitch+010_roll-030,140.0,10.0,-30.0,0.10690707,57,,,0,1,0
yaw140_pitch+010_roll-015,140.0,10.0,-15.0,0.10616039,58,,,0,1,0
yaw0550_pitchp0600_roll-015,55.0,60.0,-15.0,0.08550375,59,,,0,0,0
yaw0550_pitchp0625_roll-015,55.0,62.5,-15.0,0.07717834,60,,,0,0,0
yaw0550_pitchp0650_roll-015,55.0,65.0,-15.0,0.07112510,61,,,0,0,0
yaw0575_pitchp0700_roll+000,57.5,70.0,0.0,0.07026403,62,,,0,0,0
yaw0575_pitchp0650_roll+000,57.5,65.0,0.0,0.06997714,63,,,0,0,0
yaw0575_pitchp0675_roll+000,57.5,67.5,0.0,0.06973055,64,,,0,0,0
yaw0575_pitchp0625_roll+000,57.5,62.5,0.0,0.06947677,65,,,0,0,0
yaw0575_pitchp0600_roll+000,57.5,60.0,0.0,0.06942465,66,,,0,0,0
yaw060_pitch+080_roll+000,60.0,80.0,0.0,0.06887131,67,,,0,0,0
yaw060_pitch+075_roll+000,60.0,75.0,0.0,0.06868044,68,,,0,0,0
