pose_label,yaw,pitch,roll,ocs_total,src_pkg,region,category,selection_reason
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889048,23A,R1_top,23A_refined_topN,forced_top1
yaw2450_pitchp0300_roll+015,245.0,30.0,15.0,0.20837700,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2450_pitchp0325_roll+015,245.0,32.5,15.0,0.20790970,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2450_pitchp0350_roll+015,245.0,35.0,15.0,0.20626715,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2475_pitchp0375_roll+015,247.5,37.5,15.0,0.20560144,P3,R1_high_info,high-info,bright_top40_global
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368336,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw2475_pitchp0400_roll+015,247.5,40.0,15.0,0.20354554,P3,R1_high_info,high-info,bright_top40_global
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322742,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw2475_pitchp0325_roll+015,247.5,32.5,15.0,0.20254266,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2475_pitchp0350_roll+015,247.5,35.0,15.0,0.20235811,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw1475_pitchp0125_roll-015,147.5,12.5,-15.0,0.20182255,P3,R4_control,23A_refined_topN,topN_R4_control
yaw1475_pitchp0125_roll-060,147.5,12.5,-60.0,0.20158178,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,bright_top40_global
yaw2475_pitchp0325_roll+0175,247.5,32.5,17.5,0.20157747,23A,R1_top,23A_refined_topN,topN_R1_top
yaw1475_pitchp0125_roll-045,147.5,12.5,-45.0,0.20154069,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,bright_top40_global
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114613,P3,R4_control,23A_refined_topN,forced_R4_robust
yaw2425_pitchp0275_roll+0125,242.5,27.5,12.5,0.20112067,23A,R1_top,23A_refined_topN,topN_R1_top
yaw1475_pitchp0125_roll-030,147.5,12.5,-30.0,0.20102839,P3,R4_control,23A_refined_topN,topN_R4_control
yaw2450_pitchp0375_roll+015,245.0,37.5,15.0,0.20069478,P3,R1_high_info,high-info,bright_top40_global
yaw2450_pitchp0225_roll+015,245.0,22.5,15.0,0.20067911,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw2475_pitchp0350_roll+0175,247.5,35.0,17.5,0.20010020,23A,R1_top,23A_refined_topN,topN_R1_top
yaw2425_pitchp0275_roll+015,242.5,27.5,15.0,0.19927523,23A,R1_top,23A_refined_topN,topN_R1_top
yaw2475_pitchp0300_roll+015,247.5,30.0,15.0,0.19826229,P3,R1_top,23A_refined_topN,topN_R1_top
yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.19780397,23A,R1_top,23A_refined_topN,topN_R1_top
yaw2450_pitchp0300_roll+0125,245.0,30.0,12.5,0.19776537,23A,R1_top,23A_refined_topN,topN_R1_top
yaw1475_pitchp0125_roll+015,147.5,12.5,15.0,0.19740409,P3,R4_control,23A_refined_topN,topN_R4_control
yaw240_pitch+015_roll+015,240.0,15.0,15.0,0.19713083,P2,R1_high_info,high-info,bright_top40_global
yaw2425_pitchp0300_roll+0125,242.5,30.0,12.5,0.19711170,23A,R1_top,23A_refined_topN,topN_R1_top
yaw2450_pitchp0325_roll+0125,245.0,32.5,12.5,0.19685949,23A,R1_top,23A_refined_topN,topN_R1_top
yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.19526324,23A,R1_top,23A_refined_topN,topN_R1_top
yaw245_pitch+020_roll+015,245.0,20.0,15.0,0.19484702,P2,R1_high_info,high-info,bright_top40_global
yaw2425_pitchp0300_roll+015,242.5,30.0,15.0,0.19471525,P3,R1_high_info,high-info,bright_top40_global
yaw1475_pitchp0125_roll+030,147.5,12.5,30.0,0.19414049,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,bright_top40_global
yaw2450_pitchp0350_roll+0125,245.0,35.0,12.5,0.19404736,23A,unlabeled,unlabeled,bright_top40_global
yaw2450_pitchp0400_roll+015,245.0,40.0,15.0,0.19323078,P3,R1_high_info,high-info,bright_top40_global
yaw2450_pitchp0275_roll+0175,245.0,27.5,17.5,0.19307745,23A,unlabeled,unlabeled,bright_top40_global
yaw1475_pitchp0125_roll+045,147.5,12.5,45.0,0.19273490,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,bright_top40_global
yaw1475_pitchp0150_roll-015,147.5,15.0,-15.0,0.19263732,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,bright_top40_global
yaw2475_pitchp0275_roll+015,247.5,27.5,15.0,0.19189717,23A,unlabeled,unlabeled,bright_top40_global
yaw2425_pitchp0325_roll+0125,242.5,32.5,12.5,0.19175607,23A,unlabeled,unlabeled,bright_top40_global
yaw2450_pitchp0325_roll+0175,245.0,32.5,17.5,0.19171193,23A,unlabeled,unlabeled,region_top_unlabeled
yaw1475_pitchp0150_roll-045,147.5,15.0,-45.0,0.19165732,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_top_R4_bright_info_boundary
yaw2450_pitchp0300_roll+0175,245.0,30.0,17.5,0.19156876,23A,unlabeled,unlabeled,region_top_unlabeled
yaw1475_pitchp0125_roll+060,147.5,12.5,60.0,0.19139913,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_top_R4_bright_info_boundary
yaw240_pitch+020_roll+015,240.0,20.0,15.0,0.19111823,P2,R1_high_info,high-info,region_top_R1_high_info
yaw1475_pitchp0150_roll-030,147.5,15.0,-30.0,0.19036755,P3,R4_bright_info_boundary,bright/robust-easy + info-boundary,region_top_R4_bright_info_boundary
yaw2475_pitchp0275_roll+0175,247.5,27.5,17.5,0.18898834,23A,unlabeled,unlabeled,region_top_unlabeled
yaw2450_pitchp0350_roll+0175,245.0,35.0,17.5,0.18849723,23A,unlabeled,unlabeled,region_top_unlabeled
yaw2475_pitchp0250_roll+015,247.5,25.0,15.0,0.18273191,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
yaw2475_pitchp0225_roll+015,247.5,22.5,15.0,0.17421928,23B,R1_pitch_boundary,23B_combined_topN,topN_R1_pitch_boundary
