pose_label,yaw,pitch,roll,ocs_total,avgN_vs_sun_deg,avgN_vs_det_deg,avgN_vs_H_deg,weighted_metal_NH,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889049,31.137,31.979,0.568,0.99773,1.063,81.342,8.10551e-01
yaw2450_pitchp0300_roll+015,245.0,30.0,15.0,0.20837701,31.739,31.374,0.248,0.99767,0.463,80.664,8.06171e-01
yaw2450_pitchp0325_roll+015,245.0,32.5,15.0,0.20790972,32.315,30.797,0.760,0.99761,1.519,81.227,8.05570e-01
yaw2450_pitchp0350_roll+015,245.0,35.0,15.0,0.20626715,32.900,30.214,1.371,0.99742,2.727,81.024,7.90588e-01
yaw2475_pitchp0375_roll+015,247.5,37.5,15.0,0.20560145,31.120,32.023,1.124,0.99734,1.974,79.858,7.89619e-01
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368337,32.267,30.884,1.366,0.99739,2.437,81.949,8.02656e-01
yaw2475_pitchp0400_roll+015,247.5,40.0,15.0,0.20354554,31.664,31.499,1.343,0.99735,2.290,80.652,7.87775e-01
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322743,30.565,32.556,1.137,0.99755,2.200,81.695,8.02690e-01
yaw2475_pitchp0325_roll+015,247.5,32.5,15.0,0.20254266,29.998,33.121,1.645,0.99719,3.246,80.860,7.80388e-01
yaw2475_pitchp0350_roll+015,247.5,35.0,15.0,0.20235813,30.586,32.542,1.227,0.99718,2.328,78.863,7.74413e-01
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982,32.872,30.270,1.654,0.99733,3.131,82.088,7.92218e-01
yaw1475_pitchp0125_roll-015,147.5,12.5,-15.0,0.20182256,31.646,31.467,0.203,0.99809,0.358,83.609,8.37377e-01
yaw1475_pitchp0125_roll-060,147.5,12.5,-60.0,0.20158178,31.613,31.499,0.151,0.99830,0.264,86.619,8.68592e-01
yaw2475_pitchp0325_roll+0175,247.5,32.5,17.5,0.20157749,30.975,32.223,1.841,0.99712,3.204,80.922,7.72312e-01
yaw1475_pitchp0125_roll-045,147.5,12.5,-45.0,0.20154071,31.647,31.466,0.248,0.99806,0.432,83.301,8.34950e-01
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114612,31.615,31.498,0.193,0.99780,0.334,83.960,8.40387e-01
yaw2425_pitchp0275_roll+0125,242.5,27.5,12.5,0.20112068,32.800,30.375,1.924,0.99701,3.516,81.477,7.77845e-01
yaw1475_pitchp0125_roll-030,147.5,12.5,-30.0,0.20102839,31.629,31.485,0.237,0.99799,0.411,83.263,8.33734e-01
yaw2450_pitchp0375_roll+015,245.0,37.5,15.0,0.20069478,33.462,29.658,1.976,0.99697,3.912,80.568,7.66388e-01
