pose_label,yaw,pitch,roll,ocs_total,ocs_rank,dominant_part,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct,weighted_metal_NH,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n_metal,glint_flag,saturation_flag,src_pkg
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889049,1,jinshuzhuti,0.19849659,0.00877461,0.00161930,95.024,4.201,0.775,0.99773,0.568,1.063,81.342,8.10551e-01,0.0,1.0,23A
yaw2450_pitchp0300_roll+015,245.0,30.0,15.0,0.20837701,2,jinshuzhuti,0.19810214,0.00872548,0.00154939,95.069,4.187,0.744,0.99767,0.248,0.463,80.664,8.06171e-01,0,1,P3
yaw2450_pitchp0325_roll+015,245.0,32.5,15.0,0.20790972,3,jinshuzhuti,0.19757028,0.00877578,0.00156367,95.027,4.221,0.752,0.99761,0.760,1.519,81.227,8.05570e-01,0,1,P3
yaw2450_pitchp0350_roll+015,245.0,35.0,15.0,0.20626715,4,jinshuzhuti,0.19621266,0.00870974,0.00134475,95.126,4.223,0.652,0.99742,1.371,2.727,81.024,7.90588e-01,0,1,P3
yaw2475_pitchp0375_roll+015,247.5,37.5,15.0,0.20560145,5,jinshuzhuti,0.19546821,0.00871896,0.00141428,95.071,4.241,0.688,0.99734,1.124,1.974,79.858,7.89619e-01,0,1,P3
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368337,6,jinshuzhuti,0.19327544,0.00877403,0.00163390,94.890,4.308,0.802,0.99739,1.366,2.437,81.949,8.02656e-01,,,23B
yaw2475_pitchp0400_roll+015,247.5,40.0,15.0,0.20354554,7,jinshuzhuti,0.19330369,0.00873648,0.00150537,94.968,4.292,0.740,0.99735,1.343,2.290,80.652,7.87775e-01,0,1,P3
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322743,8,jinshuzhuti,0.19282532,0.00875577,0.00164633,94.882,4.308,0.810,0.99755,1.137,2.200,81.695,8.02690e-01,0,1,23B
yaw2475_pitchp0325_roll+015,247.5,32.5,15.0,0.20254266,9,jinshuzhuti,0.19223995,0.00875349,0.00154922,94.913,4.322,0.765,0.99719,1.645,3.246,80.860,7.80388e-01,0,1,P3
yaw2475_pitchp0350_roll+015,247.5,35.0,15.0,0.20235813,10,jinshuzhuti,0.19281497,0.00875164,0.00079151,95.284,4.325,0.391,0.99718,1.227,2.328,78.863,7.74413e-01,0,1,P3
