pose_label,yaw,pitch,roll,ocs_total,n_metal_px,metal_body_contrib,dark_panel_contrib,solar_panel_contrib,metal_body_pct,dark_panel_pct,solar_panel_pct
yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.20889049,2653,0.19849659,0.00877461,0.00161930,95.024,4.201,0.775
yaw2450_pitchp0300_roll+015,245.0,30.0,15.0,0.20837701,2679,0.19810214,0.00872548,0.00154939,95.069,4.187,0.744
yaw2450_pitchp0325_roll+015,245.0,32.5,15.0,0.20790972,2690,0.19757028,0.00877578,0.00156367,95.027,4.221,0.752
yaw2450_pitchp0350_roll+015,245.0,35.0,15.0,0.20626715,2735,0.19621266,0.00870974,0.00134475,95.126,4.223,0.652
yaw2475_pitchp0375_roll+015,247.5,37.5,15.0,0.20560145,2676,0.19546821,0.00871896,0.00141428,95.071,4.241,0.688
yaw2425_pitchp0225_roll+015,242.5,22.5,15.0,0.20368337,2637,0.19327544,0.00877403,0.00163390,94.890,4.308,0.802
yaw2475_pitchp0400_roll+015,247.5,40.0,15.0,0.20354554,2667,0.19330369,0.00873648,0.00150537,94.968,4.292,0.740
yaw2450_pitchp0250_roll+015,245.0,25.0,15.0,0.20322743,2584,0.19282532,0.00875577,0.00164633,94.882,4.308,0.810
yaw2475_pitchp0325_roll+015,247.5,32.5,15.0,0.20254266,2628,0.19223995,0.00875349,0.00154922,94.913,4.322,0.765
yaw2475_pitchp0350_roll+015,247.5,35.0,15.0,0.20235813,2673,0.19281497,0.00875164,0.00079151,95.284,4.325,0.391
yaw2425_pitchp0250_roll+015,242.5,25.0,15.0,0.20202982,2663,0.19164753,0.00873202,0.00165027,94.861,4.322,0.817
yaw1475_pitchp0125_roll-015,147.5,12.5,-15.0,0.20182256,2599,0.19939506,0.00097365,0.00145385,98.797,0.482,0.720
yaw1475_pitchp0125_roll-060,147.5,12.5,-60.0,0.20158178,2511,0.19949109,0.00094327,0.00114742,98.963,0.468,0.569
yaw2475_pitchp0325_roll+0175,247.5,32.5,17.5,0.20157749,2668,0.19139995,0.00870772,0.00146982,94.951,4.320,0.729
yaw1475_pitchp0125_roll-045,147.5,12.5,-45.0,0.20154071,2605,0.19936175,0.00093089,0.00124808,98.919,0.462,0.619
yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.20114612,2581,0.19872104,0.00093093,0.00149416,98.794,0.463,0.743
yaw2425_pitchp0275_roll+0125,242.5,27.5,12.5,0.20112068,2694,0.19085821,0.00872310,0.00153937,94.897,4.337,0.765
yaw1475_pitchp0125_roll-030,147.5,12.5,-30.0,0.20102839,2599,0.19864249,0.00095665,0.00142925,98.813,0.476,0.711
yaw2450_pitchp0375_roll+015,245.0,37.5,15.0,0.20069478,2748,0.19050384,0.00872383,0.00146712,94.922,4.347,0.731
yaw2450_pitchp0225_roll+015,245.0,22.5,15.0,0.20067912,2590,0.19037619,0.00877495,0.00152798,94.866,4.373,0.761
yaw2475_pitchp0350_roll+0175,247.5,35.0,17.5,0.20010021,2631,0.18935889,0.00871615,0.00202517,94.632,4.356,1.012
yaw2425_pitchp0275_roll+015,242.5,27.5,15.0,0.19927523,2712,0.18886128,0.00873334,0.00168061,94.774,4.383,0.843
