geom_id,rank,pose_id,role,group,ocs_total,metal_pct,near_specular_metal
G0_baseline,1,A_top1,top1,mandatory,0.20889049,95.02,1
G0_baseline,2,D1,top1_neighbor,top1_neighbor,0.20837701,95.07,1
G0_baseline,3,D2,top1_neighbor,top1_neighbor,0.20790972,95.03,1
G0_baseline,4,D3,top1_neighbor,top1_neighbor,0.20560145,95.07,1
G0_baseline,5,D4,top1_neighbor,top1_neighbor,0.20368337,94.89,1
G0_baseline,6,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,0.20182256,98.80,1
G0_baseline,7,B_R4,R4_robust,mandatory,0.20114612,98.79,1
G0_baseline,8,F1_edge,bright_edge_nsm0,bright_edge,0.19927523,94.77,0
G0_baseline,9,F2_edge,bright_edge_nsm0,bright_edge,0.19826230,94.88,0
G0_baseline,10,D5_roll125,top1_neighbor_roll125,top1_neighbor,0.19780398,94.72,0
G0_baseline,11,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,0.19740410,98.57,1
G0_baseline,12,F3_edge,bright_edge_nsm0,bright_edge,0.19713082,94.75,0
G0_baseline,13,D6_roll175,top1_neighbor_roll175,top1_neighbor,0.19526323,94.76,0
G0_baseline,14,C_R3,R3_negative,mandatory,0.06625763,98.50,0
G1_sun_plus,1,D5_roll125,top1_neighbor_roll125,top1_neighbor,0.19528240,94.66,0
G1_sun_plus,2,D3,top1_neighbor,top1_neighbor,0.18830136,94.67,0
G1_sun_plus,3,D2,top1_neighbor,top1_neighbor,0.17613373,94.23,0
G1_sun_plus,4,D1,top1_neighbor,top1_neighbor,0.17277132,94.17,0
G1_sun_plus,5,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,0.17247213,98.63,0
G1_sun_plus,6,B_R4,R4_robust,mandatory,0.17182573,98.60,0
G1_sun_plus,7,A_top1,top1,mandatory,0.16959147,94.01,0
G1_sun_plus,8,F2_edge,bright_edge_nsm0,bright_edge,0.16854442,94.08,0
G1_sun_plus,9,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,0.16835260,98.37,0
G1_sun_plus,10,F1_edge,bright_edge_nsm0,bright_edge,0.15810108,93.58,0
G1_sun_plus,11,D4,top1_neighbor,top1_neighbor,0.15599308,93.53,0
G1_sun_plus,12,F3_edge,bright_edge_nsm0,bright_edge,0.14275878,93.01,0
G1_sun_plus,13,D6_roll175,top1_neighbor_roll175,top1_neighbor,0.13818776,92.89,0
G1_sun_plus,14,C_R3,R3_negative,mandatory,0.13099577,99.10,0
G2_sun_minus,1,D6_roll175,top1_neighbor_roll175,top1_neighbor,0.19493062,94.78,0
G2_sun_minus,2,F3_edge,bright_edge_nsm0,bright_edge,0.19447424,94.70,0
G2_sun_minus,3,D4,top1_neighbor,top1_neighbor,0.18842083,94.55,0
G2_sun_minus,4,A_top1,top1,mandatory,0.18072152,94.37,0
G2_sun_minus,5,F1_edge,bright_edge_nsm0,bright_edge,0.17901891,94.28,0
G2_sun_minus,6,D1,top1_neighbor,top1_neighbor,0.17663114,94.32,0
G2_sun_minus,7,D2,top1_neighbor,top1_neighbor,0.17271975,94.17,0
G2_sun_minus,8,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,0.16405573,98.52,0
G2_sun_minus,9,B_R4,R4_robust,mandatory,0.16312907,98.57,0
G2_sun_minus,10,F2_edge,bright_edge_nsm0,bright_edge,0.16262884,93.92,0
