geom_id,pose_id,role,ocs_total,rank_in_geom,metal_pct,near_specular_metal,dark_panel_increment,dark_panel_contrib,geom_brightest_pose,geom_brightest_role,geom_brightest_ocs,geom_brightest_nsm
G0_baseline,A_top1,top1,0.20889049,1,95.02,1,1,0.008775,A_top1,top1,0.20889049,1
G0_baseline,B_R4,R4_robust,0.20114612,7,98.79,1,0,0.000931,A_top1,top1,0.20889049,1
G0_baseline,C_R3,R3_negative,0.06625763,14,98.50,0,0,0.000000,A_top1,top1,0.20889049,1
G1_sun_plus,A_top1,top1,0.16959147,7,94.01,0,1,0.008612,D5_roll125,top1_neighbor_roll125,0.19528240,0
G1_sun_plus,B_R4,R4_robust,0.17182573,6,98.60,0,0,0.000920,D5_roll125,top1_neighbor_roll125,0.19528240,0
G1_sun_plus,C_R3,R3_negative,0.13099577,14,99.10,0,0,0.000000,D5_roll125,top1_neighbor_roll125,0.19528240,0
G2_sun_minus,A_top1,top1,0.18072152,4,94.37,0,1,0.008611,D6_roll175,top1_neighbor_roll175,0.19493062,0
G2_sun_minus,B_R4,R4_robust,0.16312907,9,98.57,0,0,0.000908,D6_roll175,top1_neighbor_roll175,0.19493062,0
G2_sun_minus,C_R3,R3_negative,0.03953715,14,97.91,0,0,0.000000,D6_roll175,top1_neighbor_roll175,0.19493062,0
G3_view_plus,A_top1,top1,0.18751159,4,94.52,0,1,0.008828,D6_roll175,top1_neighbor_roll175,0.20491531,1
G3_view_plus,B_R4,R4_robust,0.16894559,9,98.55,0,0,0.000953,D6_roll175,top1_neighbor_roll175,0.20491531,1
G3_view_plus,C_R3,R3_negative,0.03979351,14,97.68,0,0,0.000000,D6_roll175,top1_neighbor_roll175,0.20491531,1
G4_view_minus,A_top1,top1,0.16396582,6,93.92,0,1,0.008359,D5_roll125,top1_neighbor_roll125,0.18548740,0
G4_view_minus,B_R4,R4_robust,0.16372579,7,98.31,0,0,0.000891,D5_roll125,top1_neighbor_roll125,0.18548740,0
G4_view_minus,C_R3,R3_negative,0.13244369,14,99.26,0,0,0.000000,D5_roll125,top1_neighbor_roll125,0.18548740,0
