geom_id,pose_id,label,camera_exr_src,camera_exr_status,sun_exr_src,sun_exr_status
H00_baseline,A_top1,yaw2450_pitchp0275_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,B_R4,yaw1475_pitchp0125_roll+000,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,C_R3,yaw055_pitch+060_roll+000,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D1,yaw2450_pitchp0300_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D2,yaw2450_pitchp0325_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D3,yaw2475_pitchp0375_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D4,yaw2425_pitchp0225_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D5_roll125,yaw2450_pitchp0275_roll+0125,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,D6_roll175,yaw2475_pitchp0300_roll+0175,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,E1_R4roll-15,yaw1475_pitchp0125_roll-015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,E2_R4roll+15,yaw1475_pitchp0125_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,F1_edge,yaw2425_pitchp0275_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,F2_edge,yaw2475_pitchp0300_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
H00_baseline,F3_edge,yaw240_pitch+015_roll+015,REUSED_BASELINE,OK,REUSED_BASELINE,OK
Hsp_v0,A_top1,yaw2450_pitchp0275_roll+015,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
Hsp_v0,B_R4,yaw1475_pitchp0125_roll+000,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
Hsp_v0,C_R3,yaw055_pitch+060_roll+000,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
Hsp_v0,D1,yaw2450_pitchp0300_roll+015,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
Hsp_v0,D2,yaw2450_pitchp0325_roll+015,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
Hsp_v0,D3,yaw2475_pitchp0375_roll+015,REUSED_BASELINE,OK,REUSED_26/G1_sun_plus,OK
