geom_id,rank,pose_id,role,group,cluster,ocs_total,metal_pct,near_specular_metal
H00_baseline,1,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.20889049,95.02,1
H00_baseline,2,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20837701,95.07,1
H00_baseline,3,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20790972,95.03,1
H00_baseline,4,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20560145,95.07,1
H00_baseline,5,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.20368337,94.89,1
H00_baseline,6,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.20182256,98.80,1
H00_baseline,7,B_R4,R4_robust,mandatory,control,0.20114612,98.79,1
H00_baseline,8,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19927523,94.77,0
H00_baseline,9,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19826230,94.88,0
H00_baseline,10,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.19780398,94.72,0
H00_baseline,11,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.19740410,98.57,1
H00_baseline,12,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.19713082,94.75,0
H00_baseline,13,D6_roll175,top1_neighbor_roll175,top1_neighbor,primary_shift_target,0.19526323,94.76,0
H00_baseline,14,C_R3,R3_negative,mandatory,control,0.06625763,98.50,0
Hsp_v0,1,D5_roll125,top1_neighbor_roll125,top1_neighbor,primary_shift_target,0.19528240,94.66,0
Hsp_v0,2,D3,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.18830136,94.67,0
Hsp_v0,3,D2,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.17613373,94.23,0
Hsp_v0,4,D1,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.17277132,94.17,0
Hsp_v0,5,E1_R4roll-15,R4_cluster_nsm1,R4_cluster,other,0.17247213,98.63,0
Hsp_v0,6,B_R4,R4_robust,mandatory,control,0.17182573,98.60,0
Hsp_v0,7,A_top1,top1,mandatory,core_top1_roll_neighborhood,0.16959147,94.01,0
Hsp_v0,8,F2_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.16854442,94.08,0
Hsp_v0,9,E2_R4roll+15,R4_cluster_nsm1,R4_cluster,other,0.16835260,98.37,0
Hsp_v0,10,F1_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.15810108,93.58,0
Hsp_v0,11,D4,top1_neighbor,top1_neighbor,core_top1_roll_neighborhood,0.15599308,93.53,0
Hsp_v0,12,F3_edge,bright_edge_nsm0,bright_edge,core_top1_roll_neighborhood,0.14275878,93.01,0
