geom_id,sun_offset,view_offset,pose_id,role,ocs_total,rank_in_geom,metal_pct,near_specular_metal,dark_panel_increment,dark_panel_contrib,geom_brightest_pose,geom_brightest_role,geom_brightest_ocs,geom_brightest_nsm
H00_baseline,0,0,A_top1,top1,0.20889049,1,95.02,1,1,0.008775,A_top1,top1,0.20889049,1
H00_baseline,0,0,B_R4,R4_robust,0.20114612,7,98.79,1,0,0.000931,A_top1,top1,0.20889049,1
H00_baseline,0,0,C_R3,R3_negative,0.06625763,14,98.50,0,0,0.000000,A_top1,top1,0.20889049,1
Hsp_v0,7,0,A_top1,top1,0.16959147,7,94.01,0,1,0.008612,D5_roll125,top1_neighbor_roll125,0.19528240,0
Hsp_v0,7,0,B_R4,R4_robust,0.17182573,6,98.60,0,0,0.000920,D5_roll125,top1_neighbor_roll125,0.19528240,0
Hsp_v0,7,0,C_R3,R3_negative,0.13099577,14,99.10,0,0,0.000000,D5_roll125,top1_neighbor_roll125,0.19528240,0
Hsm_v0,-7,0,A_top1,top1,0.18072152,4,94.37,0,1,0.008611,D6_roll175,top1_neighbor_roll175,0.19493062,0
Hsm_v0,-7,0,B_R4,R4_robust,0.16312907,9,98.57,0,0,0.000908,D6_roll175,top1_neighbor_roll175,0.19493062,0
Hsm_v0,-7,0,C_R3,R3_negative,0.03953715,14,97.91,0,0,0.000000,D6_roll175,top1_neighbor_roll175,0.19493062,0
Hs0_vp,0,7,A_top1,top1,0.18751159,4,94.52,0,1,0.008828,D6_roll175,top1_neighbor_roll175,0.20491531,1
Hs0_vp,0,7,B_R4,R4_robust,0.16894559,9,98.55,0,0,0.000953,D6_roll175,top1_neighbor_roll175,0.20491531,1
Hs0_vp,0,7,C_R3,R3_negative,0.03979351,14,97.68,0,0,0.000000,D6_roll175,top1_neighbor_roll175,0.20491531,1
Hs0_vm,0,-7,A_top1,top1,0.16396582,6,93.92,0,1,0.008359,D5_roll125,top1_neighbor_roll125,0.18548740,0
Hs0_vm,0,-7,B_R4,R4_robust,0.16372579,7,98.31,0,0,0.000891,D5_roll125,top1_neighbor_roll125,0.18548740,0
Hs0_vm,0,-7,C_R3,R3_negative,0.13244369,14,99.26,0,0,0.000000,D5_roll125,top1_neighbor_roll125,0.18548740,0
Hsp_vp,7,7,A_top1,top1,0.21039591,1,95.09,1,1,0.008854,A_top1,top1,0.21039591,1
Hsp_vp,7,7,B_R4,R4_robust,0.20257012,6,98.81,1,0,0.000960,A_top1,top1,0.21039591,1
Hsp_vp,7,7,C_R3,R3_negative,0.06525266,14,98.26,0,0,0.000000,A_top1,top1,0.21039591,1
Hsp_vm,7,-7,A_top1,top1,0.10038705,9,90.57,0,1,0.008031,C_R3,R3_negative,0.22555675,0
Hsp_vm,7,-7,B_R4,R4_robust,0.10096916,7,97.38,0,0,0.000863,C_R3,R3_negative,0.22555675,0
Hsp_vm,7,-7,C_R3,R3_negative,0.22555675,1,99.51,0,0,0.000000,C_R3,R3_negative,0.22555675,0
Hsm_vp,-7,7,A_top1,top1,0.12173121,4,91.95,0,1,0.008489,D6_roll175,top1_neighbor_roll175,0.14991522,0
Hsm_vp,-7,7,B_R4,R4_robust,0.10252747,10,97.69,0,0,0.000913,D6_roll175,top1_neighbor_roll175,0.14991522,0
Hsm_vp,-7,7,C_R3,R3_negative,0.03296315,14,97.68,0,0,0.000000,D6_roll175,top1_neighbor_roll175,0.14991522,0
Hsm_vm,-7,-7,A_top1,top1,0.19664608,3,94.89,1,1,0.008384,D2,top1_neighbor,0.20011107,1
Hsm_vm,-7,-7,B_R4,R4_robust,0.18749647,8,98.51,1,0,0.000889,D2,top1_neighbor,0.20011107,1
Hsm_vm,-7,-7,C_R3,R3_negative,0.06605352,14,98.74,0,0,0.000000,D2,top1_neighbor,0.20011107,1
