geom_id,pose_id,label,recomputed_ocs_total,ref_ocs_total,rel_diff,verdict
sp5_vm5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2648552588,0.2648552656,2.585e-08,OK
sp5_vm5,C_R3,yaw055_pitch+060_roll+000,0.1715757555,0.1715757549,3.709e-09,OK
sp5_vm5,B_R4,yaw1475_pitchp0125_roll+000,0.1400497187,0.1400497109,5.565e-08,OK
sp5_vm5,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1704342929,0.1704342812,6.826e-08,OK
sp5_vm5,A_top1,yaw2450_pitchp0275_roll+015,0.1372090294,0.1372090131,1.189e-07,OK
sp5_vm5,D6_roll175,yaw2475_pitchp0300_roll+0175,0.1078813314,0.1078813225,8.251e-08,OK
sp5_vm7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2719395879,0.2719396055,6.448e-08,OK
sp5_vm7,C_R3,yaw055_pitch+060_roll+000,0.1993928081,0.1993927956,6.291e-08,OK
sp5_vm7,B_R4,yaw1475_pitchp0125_roll+000,0.1194294222,0.1194294244,1.833e-08,OK
sp5_vm7,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1508700148,0.1508700103,3.036e-08,OK
sp5_vm7,A_top1,yaw2450_pitchp0275_roll+015,0.1182728193,0.1182728186,5.581e-09,OK
sp5_vm7,D6_roll175,yaw2475_pitchp0300_roll+0175,0.0893084603,0.0893084630,3.107e-08,OK
sp5_vm9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.2711688069,0.2711687982,3.194e-08,OK
sp5_vm9,C_R3,yaw055_pitch+060_roll+000,0.2262295334,0.2262295336,4.850e-10,OK
sp5_vm9,B_R4,yaw1475_pitchp0125_roll+000,0.1000500401,0.1000500396,4.891e-09,OK
sp5_vm9,D5_roll125,yaw2450_pitchp0275_roll+0125,0.1322472749,0.1322472692,4.353e-08,OK
sp5_vm9,A_top1,yaw2450_pitchp0275_roll+015,0.0991829517,0.0991829559,4.252e-08,OK
