pose_id,label,yaw,pitch,roll,render,on_grid_edge
B_y35_p45_r-20,yaw035_pitch+045_roll-020,35.0,45.0,-20.0,NEW_RENDER_2units,True
B_y35_p45_r+0,yaw035_pitch+045_roll+000,35.0,45.0,0.0,NEW_RENDER_2units,True
B_y35_p45_r+20,yaw035_pitch+045_roll+020,35.0,45.0,20.0,NEW_RENDER_2units,True
B_y35_p60_r-20,yaw035_pitch+060_roll-020,35.0,60.0,-20.0,NEW_RENDER_2units,True
B_y35_p60_r+0,yaw035_pitch+060_roll+000,35.0,60.0,0.0,NEW_RENDER_2units,True
B_y35_p60_r+20,yaw035_pitch+060_roll+020,35.0,60.0,20.0,NEW_RENDER_2units,True
B_y35_p75_r-20,yaw035_pitch+075_roll-020,35.0,75.0,-20.0,NEW_RENDER_2units,True
B_y35_p75_r+0,yaw035_pitch+075_roll+000,35.0,75.0,0.0,NEW_RENDER_2units,True
B_y35_p75_r+20,yaw035_pitch+075_roll+020,35.0,75.0,20.0,NEW_RENDER_2units,True
B_y55_p45_r-20,yaw055_pitch+045_roll-020,55.0,45.0,-20.0,NEW_RENDER_2units,True
B_y55_p45_r+0,yaw055_pitch+045_roll+000,55.0,45.0,0.0,NEW_RENDER_2units,True
B_y55_p45_r+20,yaw055_pitch+045_roll+020,55.0,45.0,20.0,NEW_RENDER_2units,True
B_y55_p60_r-20,yaw055_pitch+060_roll-020,55.0,60.0,-20.0,NEW_RENDER_2units,True
C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,REUSE_EXISTING,False
B_y55_p60_r+20,yaw055_pitch+060_roll+020,55.0,60.0,20.0,NEW_RENDER_2units,True
B_y55_p75_r-20,yaw055_pitch+075_roll-020,55.0,75.0,-20.0,NEW_RENDER_2units,True
B_y55_p75_r+0,yaw055_pitch+075_roll+000,55.0,75.0,0.0,NEW_RENDER_2units,True
B_y55_p75_r+20,yaw055_pitch+075_roll+020,55.0,75.0,20.0,NEW_RENDER_2units,True
B_y75_p45_r-20,yaw075_pitch+045_roll-020,75.0,45.0,-20.0,NEW_RENDER_2units,True
B_y75_p45_r+0,yaw075_pitch+045_roll+000,75.0,45.0,0.0,NEW_RENDER_2units,True
B_y75_p45_r+20,yaw075_pitch+045_roll+020,75.0,45.0,20.0,NEW_RENDER_2units,True
B_y75_p60_r-20,yaw075_pitch+060_roll-020,75.0,60.0,-20.0,NEW_RENDER_2units,True
B_y75_p60_r+0,yaw075_pitch+060_roll+000,75.0,60.0,0.0,NEW_RENDER_2units,True
B_y75_p60_r+20,yaw075_pitch+060_roll+020,75.0,60.0,20.0,NEW_RENDER_2units,True
B_y75_p75_r-20,yaw075_pitch+075_roll-020,75.0,75.0,-20.0,NEW_RENDER_2units,True
B_y75_p75_r+0,yaw075_pitch+075_roll+000,75.0,75.0,0.0,NEW_RENDER_2units,True
B_y75_p75_r+20,yaw075_pitch+075_roll+020,75.0,75.0,20.0,NEW_RENDER_2units,True
