stage,subdir,label,view,note
stageB,cam_vm7,yaw035_pitch+045_roll-020,camera,view-7
stageB,sun_sp7,yaw035_pitch+045_roll-020,sun,sun+7
stageB,cam_vm7,yaw035_pitch+045_roll+000,camera,view-7
stageB,sun_sp7,yaw035_pitch+045_roll+000,sun,sun+7
stageB,cam_vm7,yaw035_pitch+045_roll+020,camera,view-7
stageB,sun_sp7,yaw035_pitch+045_roll+020,sun,sun+7
stageB,cam_vm7,yaw035_pitch+060_roll-020,camera,view-7
stageB,sun_sp7,yaw035_pitch+060_roll-020,sun,sun+7
stageB,cam_vm7,yaw035_pitch+060_roll+000,camera,view-7
stageB,sun_sp7,yaw035_pitch+060_roll+000,sun,sun+7
stageB,cam_vm7,yaw035_pitch+060_roll+020,camera,view-7
stageB,sun_sp7,yaw035_pitch+060_roll+020,sun,sun+7
stageB,cam_vm7,yaw035_pitch+075_roll-020,camera,view-7
stageB,sun_sp7,yaw035_pitch+075_roll-020,sun,sun+7
stageB,cam_vm7,yaw035_pitch+075_roll+000,camera,view-7
stageB,sun_sp7,yaw035_pitch+075_roll+000,sun,sun+7
stageB,cam_vm7,yaw035_pitch+075_roll+020,camera,view-7
stageB,sun_sp7,yaw035_pitch+075_roll+020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+045_roll-020,camera,view-7
stageB,sun_sp7,yaw055_pitch+045_roll-020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+045_roll+000,camera,view-7
stageB,sun_sp7,yaw055_pitch+045_roll+000,sun,sun+7
stageB,cam_vm7,yaw055_pitch+045_roll+020,camera,view-7
stageB,sun_sp7,yaw055_pitch+045_roll+020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+060_roll-020,camera,view-7
stageB,sun_sp7,yaw055_pitch+060_roll-020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+060_roll+020,camera,view-7
stageB,sun_sp7,yaw055_pitch+060_roll+020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+075_roll-020,camera,view-7
stageB,sun_sp7,yaw055_pitch+075_roll-020,sun,sun+7
stageB,cam_vm7,yaw055_pitch+075_roll+000,camera,view-7
stageB,sun_sp7,yaw055_pitch+075_roll+000,sun,sun+7
stageB,cam_vm7,yaw055_pitch+075_roll+020,camera,view-7
stageB,sun_sp7,yaw055_pitch+075_roll+020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+045_roll-020,camera,view-7
stageB,sun_sp7,yaw075_pitch+045_roll-020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+045_roll+000,camera,view-7
stageB,sun_sp7,yaw075_pitch+045_roll+000,sun,sun+7
stageB,cam_vm7,yaw075_pitch+045_roll+020,camera,view-7
stageB,sun_sp7,yaw075_pitch+045_roll+020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+060_roll-020,camera,view-7
stageB,sun_sp7,yaw075_pitch+060_roll-020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+060_roll+000,camera,view-7
stageB,sun_sp7,yaw075_pitch+060_roll+000,sun,sun+7
stageB,cam_vm7,yaw075_pitch+060_roll+020,camera,view-7
stageB,sun_sp7,yaw075_pitch+060_roll+020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+075_roll-020,camera,view-7
stageB,sun_sp7,yaw075_pitch+075_roll-020,sun,sun+7
stageB,cam_vm7,yaw075_pitch+075_roll+000,camera,view-7
stageB,sun_sp7,yaw075_pitch+075_roll+000,sun,sun+7
stageB,cam_vm7,yaw075_pitch+075_roll+020,camera,view-7
stageB,sun_sp7,yaw075_pitch+075_roll+020,sun,sun+7
stageC(max_est),cam_vm5/cam_vm9/sun_sp5/sun_sp9,"<=6 poses (C_R3,S1_best,A_top1,D5,D6,B_R4 dedup)",camera+sun,24 units max
