geom_id,sun_offset,view_offset,pose_id,label,ocs_total,rank_in_geom,metal_pct,near_specular_metal,weighted_NoL_NoV,avgN_vs_H_deg,reflect_vs_det_deg
sp5_vm9,5,-9,C_R3,yaw055_pitch+060_roll+000,0.22622953,2,99.39,0,0.7009,5.36,9.99
sp5_vm9,5,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.27116881,1,99.46,0,0.7052,3.56,6.96
sp5_vm9,5,-9,A_top1,yaw2450_pitchp0275_roll+015,0.09918295,5,90.58,0,0.6897,8.12,13.86
sp5_vm9,5,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,0.13224727,3,92.74,0,0.6974,6.36,11.10
sp5_vm9,5,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,0.07445990,6,87.96,0,0.6802,9.74,16.72
sp5_vm9,5,-9,B_R4,yaw1475_pitchp0125_roll+000,0.10005004,4,97.52,0,0.6928,7.89,13.42
sp5_vm7,5,-7,C_R3,yaw055_pitch+060_roll+000,0.19939281,2,99.46,0,0.7017,6.31,11.51
sp5_vm7,5,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.27193959,1,99.48,0,0.7090,3.55,7.11
sp5_vm7,5,-7,A_top1,yaw2450_pitchp0275_roll+015,0.11827282,5,91.84,0,0.6984,7.10,12.13
sp5_vm7,5,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,0.15087001,3,93.52,0,0.7045,5.23,9.17
sp5_vm7,5,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,0.08930846,6,89.73,0,0.6899,8.78,15.08
sp5_vm7,5,-7,B_R4,yaw1475_pitchp0125_roll+000,0.11942942,4,97.79,0,0.7012,6.73,11.45
sp5_vm5,5,-5,C_R3,yaw055_pitch+060_roll+000,0.17157576,2,99.16,0,0.7015,7.35,13.19
sp5_vm5,5,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.26485526,1,99.47,0,0.7118,3.91,7.73
sp5_vm5,5,-5,A_top1,yaw2450_pitchp0275_roll+015,0.13720903,5,92.85,0,0.7057,6.07,10.37
sp5_vm5,5,-5,D5_roll125,yaw2450_pitchp0275_roll+0125,0.17043429,3,94.04,0,0.7108,4.14,7.30
sp5_vm5,5,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,0.10788133,6,91.31,0,0.6988,7.71,13.23
sp5_vm5,5,-5,B_R4,yaw1475_pitchp0125_roll+000,0.14004972,4,98.29,0,0.7083,5.59,9.50
sp7_vm9,7,-9,C_R3,yaw055_pitch+060_roll+000,0.24920921,2,99.44,0,0.7058,4.51,8.59
sp7_vm9,7,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.26231095,1,99.44,0,0.7070,4.00,7.57
sp7_vm9,7,-9,A_top1,yaw2450_pitchp0275_roll+015,0.08336643,4,89.02,0,0.6869,9.11,15.51
sp7_vm9,7,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,0.11403993,3,91.70,0,0.6959,7.43,12.85
sp7_vm9,7,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,0.06253854,6,86.00,0,0.6763,10.68,18.26
sp7_vm9,7,-9,B_R4,yaw1475_pitchp0125_roll+000,0.08310069,5,97.00,0,0.6901,9.03,15.34
sp7_vm7,7,-7,C_R3,yaw055_pitch+060_roll+000,0.22555675,2,99.51,0,0.7067,5.38,9.97
sp7_vm7,7,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,0.27080871,1,99.48,0,0.7110,3.65,7.18
sp7_vm7,7,-7,A_top1,yaw2450_pitchp0275_roll+015,0.10038705,5,90.57,0,0.6956,8.14,13.87
