geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,ocs_total,dominant_part,metal_pct,dark_pct,avgN_vs_H_deg,reflect_vs_det_deg,pct_NoH_ge_0.99,mean_NoH_pow_n,weighted_NoL,weighted_NoV,weighted_NoL_NoV,near_specular_metal,strong_surface_highlight,dark_panel_increment
sp5_vm5,5,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.26485526,jinshuzhuti,99.47,0.000,3.908,7.730,87.97,7.2878e-01,0.8098,0.8790,0.7118,0,1,0
sp5_vm5,5,-5,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.17157576,jinshuzhuti,99.16,0.000,7.348,13.189,87.56,4.4267e-01,0.8008,0.8761,0.7015,0,1,0
sp5_vm5,5,-5,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.14004972,jinshuzhuti,98.29,0.669,5.585,9.501,85.47,5.8795e-01,0.8485,0.8350,0.7083,0,1,0
sp5_vm5,5,-5,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.17043429,jinshuzhuti,94.04,5.006,4.136,7.300,80.66,6.4853e-01,0.8610,0.8259,0.7108,0,1,1
sp5_vm5,5,-5,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.13720903,jinshuzhuti,92.85,6.093,6.071,10.365,80.19,5.0008e-01,0.8510,0.8296,0.7057,0,1,1
sp5_vm5,5,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.10788133,jinshuzhuti,91.31,7.467,7.707,13.233,1.75,3.6582e-01,0.8549,0.8180,0.6988,0,0,1
sp5_vm7,5,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.27193959,jinshuzhuti,99.48,0.000,3.554,7.105,87.91,7.5379e-01,0.8097,0.8756,0.7090,0,1,0
sp5_vm7,5,-7,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.19939281,jinshuzhuti,99.46,0.000,6.310,11.508,87.84,5.3204e-01,0.8011,0.8760,0.7017,0,1,0
sp5_vm7,5,-7,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.11942942,jinshuzhuti,97.79,0.731,6.732,11.449,85.53,4.9615e-01,0.8484,0.8268,0.7012,0,1,0
sp5_vm7,5,-7,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.15087001,jinshuzhuti,93.52,5.553,5.231,9.171,81.25,5.7234e-01,0.8608,0.8188,0.7045,0,1,1
sp5_vm7,5,-7,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.11827282,jinshuzhuti,91.84,6.893,7.103,12.129,80.63,4.1726e-01,0.8509,0.8212,0.6984,0,1,1
sp5_vm7,5,-7,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.08930846,jinshuzhuti,89.73,8.877,8.785,15.076,1.19,2.8576e-01,0.8540,0.8086,0.6899,0,0,1
sp5_vm9,5,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.27116881,jinshuzhuti,99.46,0.004,3.560,6.960,86.98,7.4666e-01,0.8097,0.8709,0.7052,0,1,0
sp5_vm9,5,-9,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.22622953,jinshuzhuti,99.39,0.000,5.358,9.985,87.92,6.1520e-01,0.8012,0.8750,0.7009,0,1,0
sp5_vm9,5,-9,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.10005004,jinshuzhuti,97.52,0.859,7.892,13.421,85.94,4.0401e-01,0.8480,0.8172,0.6928,0,1,0
sp5_vm9,5,-9,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.13224727,jinshuzhuti,92.74,6.227,6.361,11.097,81.63,4.8882e-01,0.8604,0.8110,0.6974,0,1,1
sp5_vm9,5,-9,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.09918295,jinshuzhuti,90.58,8.038,8.120,13.861,1.50,3.3339e-01,0.8501,0.8121,0.6897,0,0,1
sp5_vm9,5,-9,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.07445990,jinshuzhuti,87.96,10.393,9.744,16.722,1.56,2.1946e-01,0.8530,0.7982,0.6802,0,0,1
sp7_vm5,7,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,0.27150709,jinshuzhuti,99.48,0.000,3.648,7.295,88.04,7.4786e-01,0.8120,0.8791,0.7138,0,1,0
sp7_vm5,7,-5,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,0.19880759,jinshuzhuti,99.25,0.000,6.373,11.547,87.60,5.2596e-01,0.8063,0.8766,0.7067,0,1,0
sp7_vm5,7,-5,B_R4,yaw1475_pitchp0125_roll+000,147.5,12.5,0.0,0.12090029,jinshuzhuti,98.01,0.767,6.738,11.452,81.46,4.7172e-01,0.8461,0.8345,0.7059,0,1,0
sp7_vm5,7,-5,D5_roll125,yaw2450_pitchp0275_roll+0125,245.0,27.5,12.5,0.15343215,jinshuzhuti,93.45,5.514,5.194,9.028,80.59,5.6906e-01,0.8597,0.8258,0.7095,0,1,1
sp7_vm5,7,-5,A_top1,yaw2450_pitchp0275_roll+015,245.0,27.5,15.0,0.11815374,jinshuzhuti,91.83,6.981,7.154,12.186,80.12,4.1255e-01,0.8482,0.8292,0.7029,0,1,1
sp7_vm5,7,-5,D6_roll175,yaw2475_pitchp0300_roll+0175,247.5,30.0,17.5,0.09100495,jinshuzhuti,89.91,8.702,8.721,14.913,1.56,2.8900e-01,0.8508,0.8177,0.6951,0,0,1
sp7_vm7,7,-7,B_y35_p45_r+0,yaw035_pitch+045_roll+000,35.0,45.0,0.0,0.02886475,jinshuzhuti,98.46,0.000,20.269,40.537,0.13,5.5680e-03,0.5955,0.9546,0.5618,0,0,0
