rank,geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,is_new_pose,on_grid_edge,camera_exr_src,sun_exr_src,ocs_total,ocs_metal,ocs_dark,ocs_solar,n_pixels_contributing,image_usable,anchor_ref,anchor_ref_ocs_total,anchor_rel_diff,status,failed_reason
1,sp7_vm7,7,-7,B_y35_p75_r-20,yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,True,28/cam_vm7,28/sun_sp7,0.27080872654914856,0.26939791440963745,0.0,0.0014108129544183612,4133,True,,,,COMPLETE,
2,sp7_vm7,7,-7,B_y55_p75_r+0,yaw055_pitch+075_roll+000,55.0,75.0,0.0,True,True,28/cam_vm7,28/sun_sp7,0.2257012277841568,0.22441428899765015,0.0,0.0012869666097685695,4360,True,,,,COMPLETE,
3,sp7_vm7,7,-7,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,False,False,REUSED_26/G4_view_minus,REUSED_26/G1_sun_plus,0.22555673122406006,0.22444628179073334,0.0,0.0011104883160442114,4116,True,27/Hsp_vm,0.22555673122406006,0.0,COMPLETE,
4,sp7_vm7,7,-7,B_y55_p45_r+0,yaw055_pitch+045_roll+000,55.0,45.0,0.0,True,True,28/cam_vm7,28/sun_sp7,0.22385379672050476,0.22242194414138794,0.0,0.0014318445464596152,4099,True,,,,COMPLETE,
5,sp7_vm7,7,-7,B_y35_p60_r-20,yaw035_pitch+060_roll-020,35.0,60.0,-20.0,True,True,28/cam_vm7,28/sun_sp7,0.1706211268901825,0.16947120428085327,0.0,0.0011499254032969475,4147,True,,,,COMPLETE,
6,sp7_vm7,7,-7,B_y75_p75_r+20,yaw075_pitch+075_roll+020,75.0,75.0,20.0,True,True,28/cam_vm7,28/sun_sp7,0.1143144741654396,0.11310978978872299,0.0,0.0012046904303133488,4487,True,,,,COMPLETE,
7,sp7_vm7,7,-7,B_y35_p45_r-20,yaw035_pitch+045_roll-020,35.0,45.0,-20.0,True,True,28/cam_vm7,28/sun_sp7,0.07091348618268967,0.0696432814002037,0.0,0.0012702068779617548,4192,True,,,,COMPLETE,
8,sp7_vm7,7,-7,B_y75_p60_r+20,yaw075_pitch+060_roll+020,75.0,60.0,20.0,True,True,28/cam_vm7,28/sun_sp7,0.05221443995833397,0.051378630101680756,0.0,0.0008358132326975465,4828,True,,,,COMPLETE,
9,sp7_vm7,7,-7,B_y55_p45_r-20,yaw055_pitch+045_roll-020,55.0,45.0,-20.0,True,True,28/cam_vm7,28/sun_sp7,0.049676332622766495,0.048703670501708984,0.0,0.0009726590942591429,3345,True,,,,COMPLETE,
10,sp7_vm7,7,-7,B_y55_p60_r-20,yaw055_pitch+060_roll-020,55.0,60.0,-20.0,True,True,28/cam_vm7,28/sun_sp7,0.04566800594329834,0.044819097965955734,0.0,0.0008489048923365772,3243,True,,,,COMPLETE,
