rank,geom_id,sun_offset,view_offset,pose_id,label,yaw,pitch,roll,is_new_pose,on_grid_edge,camera_exr_src,sun_exr_src,ocs_total,ocs_metal,ocs_dark,ocs_solar,n_pixels_contributing,image_usable,anchor_ref,anchor_ref_ocs_total,anchor_rel_diff,status,failed_reason
1,sp5_vm7,5,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm7,28/sun_sp5,0.27193960547447205,0.27053168416023254,0.0,0.001407896401360631,4133,True,,,,COMPLETE,
2,sp7_vm5,7,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm5,28/sun_sp7,0.2715071141719818,0.2700861096382141,0.0,0.0014209765940904617,4142,True,,,,COMPLETE,
3,sp5_vm9,5,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm9,28/sun_sp5,0.2711687982082367,0.2696959376335144,1.1704837561410386e-05,0.0014611411606892943,4165,True,,,,COMPLETE,
4,sp7_vm7,7,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm7,28/sun_sp7,0.27080872654914856,0.26939791440963745,0.0,0.0014108129544183612,4133,True,,,,COMPLETE,
5,sp9_vm5,9,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm5,28/sun_sp9,0.27041420340538025,0.2689927816390991,0.0,0.0014214409748092294,4141,True,,,,COMPLETE,
6,sp9_vm9,9,-9,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,False,,28/cam_vm9,28/sun_sp9,0.26702725887298584,0.2655998468399048,0.0,0.0014273867709562182,4144,True,,,,COMPLETE,
7,sp5_vm5,5,-5,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm5,28/sun_sp5,0.2648552656173706,0.26344382762908936,0.0,0.0014114163350313902,4144,True,,,,COMPLETE,
8,sp7_vm9,7,-9,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm9,28/sun_sp7,0.2623109519481659,0.2608426511287689,1.171037456515478e-05,0.0014565774472430348,4164,True,,,,COMPLETE,
9,sp9_vm7,9,-7,S1_best[B_y35_p75_r-20],yaw035_pitch+075_roll-020,35.0,75.0,-20.0,True,,28/cam_vm7,28/sun_sp9,0.26201143860816956,0.26060646772384644,0.0,0.0014049515593796968,4132,True,,,,COMPLETE,
10,sp7_vm9,7,-9,C_R3,yaw055_pitch+060_roll+000,55.0,60.0,0.0,False,,28/cam_vm9,REUSED_26/G1_sun_plus,0.2492092102766037,0.2478063702583313,0.0,0.0014028489822521806,4141,True,,,,COMPLETE,
